ndc_description,ndc,nadac_per_unit,effective_date,Brand
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3371.49113,2023-01-03,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3370.96704,2023-01-03,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3369.03246,2023-01-03,Humira (AbbVie)
HUMIRA PEN CROHN'S-UC-HS STARTER 40 MG/0.8 ML,00074433906,3364.46888,2023-01-03,Humira (AbbVie)
HUMIRA PEN PSORIASIS-UVEITIS-ADOL HS STARTER 40 MG/0.8 ML,00074433907,3364.52774,2023-01-03,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3373.39012,2023-01-03,Humira (AbbVie)
