NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT01162421,A Canadian Study to Evaluate Early Use of Adalimumab After Methotrexate Failure in Early Rheumatoid Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02925338,National Observational Study On The Use Of Inflectra™ An Infliximab Biosimilar In Real Life,Pfizer,COMPLETED,N/A,Crohn Disease | Ulcerative Colitis | Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis
NCT05637515,"Hulio Interchangeability to Humira®, Comparing Pharmacokinetics, Efficacy, Safety and Immunogenicity",Biocon Biologics Inc.,COMPLETED,PHASE3,Moderate Chronic Plaque Psoriasis | Severe Chronic Plaque Psoriasis
NCT03464136,Safety and Efficacy of Adalimumab Versus Ustekinumab for One Year,"Janssen Scientific Affairs, LLC",COMPLETED,PHASE3,Crohn Disease
NCT00497614,Positron Emission Tomography in Rheumatoid Arthritis With Adalimumab (PETRA),"University Hospital, Tours",COMPLETED,NA,Rheumatoid Arthritis
NCT07021495,"SKIN Disease Profiling by an Exploratory, pRospective, Biomarker Study in dermatoloGY Practice (SKINERGY)",Leiden University Medical Center,RECRUITING,N/A,Chronic Spontaneous Urticaria (CSU) | Hidradenitis Suppurativa (HS) | Psoriasis (PsO) | Atopic Dermatitis (AD) | CTCL/ Mycosis Fungoides
NCT00408629,Efficacy and Safety of Adalimumab in Subjects With Moderately to Severely Active Ulcerative Colitis,Abbott,COMPLETED,PHASE3,Ulcerative Colitis
NCT03223012,"Impact of AbbVie Care Patient Support Program on Clinical, Health Economic and Patient Reported Outcomes, in Crohn's Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriatic Arthritis, Psoriasis and Axial Spondyloarthritis, in the Portuguese National Health Service",AbbVie,COMPLETED,N/A,Crohn's Disease | Ulcerative Colitis (UC) | Rheumatoid Arthritis (RA) | Psoriatic Arthritis | Psoriasis | Ankylosing Spondylitis (AS) | Non-radiographic Axial Spondyloarthritis
NCT07166315,"Treatment Effectiveness in People With axSpA or PsA Starting Treatment With Bimekizumab, Risankizumab, Guselkumab, Upadacitinib, or a TNF Inhibitor",Adelphi Real World,RECRUITING,N/A,Axial Spondylarthritis (axSpA) | Psoriatic Arthritis (PsA)
NCT05151848,Comparison of Adalimumab and Tofacitinib in the Treatment of Active Takayasu Arteritis,Chinese SLE Treatment And Research Group,UNKNOWN,PHASE4,Takayasu Arteritis
NCT05407350,Validation of an IUS Activity Index,International Bowel Ultrasound Group e.V.,UNKNOWN,N/A,Crohn Disease
NCT05313620,"Effect of Tofacitinib on Coagulation and Platelet Function, and Its Role in Thromboembolic Events",Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,RECRUITING,PHASE4,Ulcerative Colitis | Thromboembolism
